"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"-1011711","46817","61","Georgia","SEC","Los Angeles","2015","10","1","10","Todd Gurley","Running Back","73","222","8","1","92","Tarboro","NC","USA","35.8968236","-77.5358049","37065"
"514218","46826","275","Wisconsin","Big Ten","Los Angeles","2015","15","1","15","Melvin Gordon","Running Back","73","215","17","2","90","Kenosha","WI","USA","42.5846773","-87.8212263","55059"
"534409","46873","333","Alabama","SEC","Jacksonville","2015","36","2","4","T.J. Yeldon","Running Back","73","226","64","4","79","Daphne","AL","USA","30.6035255","-87.9036047","01003"
"514508","46853","158","Nebraska","Big Ten","Detroit","2015","54","2","22","Ameer Abdullah","Running Back","69","205","44","3","85","Homewood","AL","USA","33.4717732","-86.8008228","01073"
"535801","46875","84","Indiana","Big Ten","Atlanta","2015","73","3","9","Tevin Coleman","Running Back","71","206","66","6","78","Tinley Park","IL","USA","41.5733669","-87.7844944","17031"
"-1019748","46874","2390","Miami","ACC","Cleveland","2015","77","3","13","Duke Johnson","Running Back","69","207","65","5","78","Miami","FL","USA","25.7742658","-80.1936589","12086"
"499005","46905","2460","Northern Iowa","MVFC","Arizona","2015","86","3","22","David Johnson","Running Back","73","224","96","9","69","","","","","",""
"535917","46944","57","Florida","SEC","Washington","2015","95","3","31","Matt Jones","Running Back","74","231","135","12","60","Seffner","FL","USA","27.998541000000003","-82.27488400114905","12057"
"503202","46906","127","Michigan State","Big Ten","Chicago","2015","106","4","7","Jeremy Langford","Running Back","72","208","97","10","69","Wayne","MI","USA","42.2814269","-83.3863215","26163"
"","46898","30","USC","Pac-12","Baltimore","2015","125","4","26","Buck Allen","Running Back","73","221","89","8","70","","","","","",""
"545218","46928","2579","South Carolina","SEC","San Francisco","2015","126","4","27","Mike Davis","Running Back","69","217","119","11","65","Atlanta","GA","USA","33.7490987","-84.3901849","13121"
"512737","46953","135","Minnesota","Big Ten","Tennessee","2015","138","5","2","David Cobb","Running Back","71","229","144","13","58","Killeen","TX","USA","31.1171441","-97.727796","48027"
"517330","46891","68","Boise State","Mountain West","Miami","2015","149","5","13","Jay Ajayi","Running Back","72","221","82","7","72","Plano","TX","USA","33.0136764","-96.6925096","48085"
"517390","47014","52","Florida State","ACC","Buffalo","2015","155","5","19","Karlos Williams","Running Back","73","230","205","17","47","Davenport","FL","USA","28.1614046","-81.6017417","12105"
"546383","46983","2","Auburn","SEC","Carolina","2015","174","5","38","Cameron Artis-Payne","Running Back","70","212","174","15","50","Harrisburg","PA","USA","40.2663107","-76.8861122","42043"
"512032","47049","344","Mississippi State","SEC","Indianapolis","2015","205","6","29","Josh Robinson","Running Back","68","217","240","21","41","Franklinton","LA","USA","30.8471283","-90.153141","22117"
"501826","47059","142","Missouri","SEC","New Orleans","2015","230","7","13","Marcus Murphy","Running Back","68","193","250","23","40","DeSoto","TX","USA","32.6061241","-96.865612653687","48113"
"504955","47143","62","Hawai'i","Mountain West","Tampa Bay","2015","231","7","14","Joey Iosefa","Running Back","","247","","","","Pago Pago","","American Samoa","","",""
"517214","47142","99","LSU","SEC","Houston","2015","235","7","18","Kenny Hilliard","Running Back","72","226","333","32","31","Patterson","LA","USA","29.6933","-91.3021","06099"
