"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"513063","34710","264","Washington","Pac-12","Tennessee","2014","54","2","22","Bishop Sankey","Running Back","70","209","45","2","85","Spokane","WA","USA","47.6579425","-117.4212265","53063"
"534423","34772","99","LSU","SEC","Cincinnati","2014","55","2","23","Jeremy Hill","Running Back","73","233","57","3","79","Baton Rouge","LA","USA","30.4459596","-91.18738","22033"
"503303","33638","194","Ohio State","Big Ten","San Francisco","2014","57","2","25","Carlos Hyde","Running Back","72","230","33","1","88","Naples","FL","USA","26.1421976","-81.7942944","12021"
"482428","33634","277","West Virginia","Big 12","Tampa Bay","2014","69","3","5","Charles Sims","Running Back","72","214","86","6","70","Houston","TX","USA","29.7589382","-95.3676974","48201"
"511828","34767","2","Auburn","SEC","Los Angeles","2014","75","3","11","Tre Mason","Running Back","69","207","61","4","78","Palm Beach","FL","USA","26.7056172","-80.0361517","12099"
"516385","34785","119","Towson","CAA","Cleveland","2014","94","3","30","Terrance West","Running Back","69","225","96","8","68","","","","","",""
"505844","34727","290","Georgia Southern","Southern","Minnesota","2014","96","3","32","Jerick McKinnon","Running Back","69","209","178","15","51","","","","","",""
"482107","33624","2309","Kent State","Mid-American","Pittsburgh","2014","97","3","33","Dri Archer","Running Back","68","173","98","9","68","Laurel","FL","USA","27.1303319","-82.453152","12115"
"514134","34811","52","Florida State","ACC","Atlanta","2014","103","4","3","Devonta Freeman","Running Back","68","206","77","5","71","Miami","FL","USA","25.7742658","-80.1936589","12086"
"501673","33246","103","Boston College","ACC","New York","2014","113","4","13","Andre Williams","Running Back","71","230","93","7","69","Schnecksville","PA","USA","40.6763665","-75.62143246464903","42077"
"514099","34104","12","Arizona","Pac-12","Chicago","2014","117","4","17","Ka'Deem Carey","Running Back","69","207","130","11","61","Tucson","AZ","USA","32.2228765","-110.9748477","04019"
"511464","33615","2483","Oregon","Pac-12","Kansas City","2014","124","4","24","De'Anthony Thomas","Running Back","69","174","114","10","65","Los Angeles","CA","USA","34.0536909","-118.2427666","06037"
"503422","34153","275","Wisconsin","Big Ten","New England","2014","130","4","30","James White","Running Back","69","204","263","21","38","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"529583","34774","324","Coastal Carolina","Big South","Baltimore","2014","138","4","38","Lorenzo Taliaferro","Running Back","72","229","236","19","42","","","","","",""
"504163","33222","99","LSU","SEC","Houston","2014","181","6","5","Alfred Blue","Running Back","74","223","298","26","33","Boutte","LA","USA","29.8951685","-90.38943007298417","22089"
"501526","34124","239","Baylor","Big 12","Washington","2014","186","6","10","Lache Seastrunk","Running Back","70","201","148","13","58","Temple","TX","USA","31.098207","-97.3427847","48027"
"534757","34150","9","Arizona State","Pac-12","Los Angeles","2014","201","6","25","Marion Grice","Running Back","72","208","183","16","50","Houston","TX","USA","29.7589382","-95.3676974","48201"
"482572","31997","24","Stanford","Pac-12","Carolina","2014","204","6","28","Tyler Gaffney","Running Back","72","220","153","14","56","San Diego","CA","USA","32.7174209","-117.1627714","06073"
"501519","34738","2116","UCF","American Athletic","Jacksonville","2014","222","7","7","Storm Johnson","Running Back","72","209","140","12","59","Loganville","GA","USA","33.8389977","-83.9007382","13297"
