"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4047365","103839","333","Alabama","SEC","Las Vegas","2019","24","1","24","Josh Jacobs","Running Back","70","220","23","1","89","Tulsa","OK","USA","36.1556805","-95.9929113","40143"
"4045163","103596","213","Penn State","Big Ten","Philadelphia","2019","53","2","21","Miles Sanders","Running Back","71","211","42","2","85","Pittsburgh","PA","USA","40.4416941","-79.9900861","42003"
"4039359","103841","235","Memphis","American Athletic","Los Angeles","2019","70","3","6","Darrell Henderson","Running Back","68","208","125","8","68","Batesville","MS","USA","34.3114982","-89.9442567","28107"
"4035538","103573","66","Iowa State","Big 12","Chicago","2019","73","3","9","David Montgomery","Running Back","70","222","79","4","75","Cincinnati","OH","USA","39.1014537","-84.5124602","39061"
"4040761","103678","2226","Florida Atlantic","Conference USA","Buffalo","2019","74","3","10","Devin Singletary","Running Back","68","203","141","9","65","Deerfield Beach","FL","USA","26.318342","-80.0996306","12011"
"3925347","103533","333","Alabama","SEC","New England","2019","87","3","23","Damien Harris","Running Back","70","216","108","6","70","Berea","KY","USA","37.568694","-84.2963224","21151"
"4048244","103672","68","Boise State","Mountain West","Minnesota","2019","102","3","38","Alexander Mattison","Running Back","71","221","116","7","69","San Bernardino","CA","USA","34.1083449","-117.2897652","06071"
"3931398","103544","24","Stanford","Pac-12","Washington","2019","112","4","10","Bryce Love","Running Back","69","200","145","10","64","Wake Forest","NC","USA","35.9803138","-78.5103731","37183"
"4038441","103679","197","Oklahoma State","Big 12","Baltimore","2019","113","4","11","Justice Hill","Running Back","70","198","98","5","72","Tulsa","OK","USA","36.1556805","-95.9929113","40143"
"4035072","103644","96","Kentucky","SEC","Pittsburgh","2019","122","4","20","Benny Snell Jr.","Running Back","70","224","245","20","49","Westerville","OH","USA","40.126139","-82.9295287","39049"
"3916148","103878","235","Memphis","American Athletic","Dallas","2019","128","4","26","Tony Pollard","Running Back","72","210","181","12","59","Memphis","TN","USA","35.1490215","-90.0516285","47157"
"3923397","103753","218","Temple","American Athletic","Jacksonville","2019","140","5","2","Ryquell Armstead","Running Back","71","220","158","11","62","Millville","NJ","USA","39.4020593","-75.0393368","34011"
"3123944","103652","221","Pittsburgh","ACC","Atlanta","2019","152","5","14","Qadree Ollison","Running Back","73","228","250","21","48","Niagara Falls","NY","USA","43.08436","-79.0614686","36063"
"3915115","103876","57","Florida","SEC","Carolina","2019","154","5","16","Jordan Scarlett","Running Back","71","208","268","25","45","Fort Lauderdale ","FL","USA","26.1223084","-80.1433786","12011"
"4035222","103855","245","Texas A&M","SEC","Cincinnati","2019","182","6","9","Trayveon Williams","Running Back","68","206","76","3","76","Houston","TX","USA","29.7589382","-95.3676974","48201"
"3915411","103690","120","Maryland","Big Ten","Detroit","2019","186","6","13","Ty Johnson","Running Back","71","210","293","28","40","Cumberland","MD","USA","39.6526498","-78.762383","24001"
"3932449","103641","87","Notre Dame","FBS Independents","Green Bay","2019","194","6","21","Dexter Williams","Running Back","71","212","212","16","54","Winter Garden","FL","USA","28.5656649","-81.5856742","12095"
"4037457","103666","2390","Miami","ACC","Seattle","2019","204","6","31","Travis Homer","Running Back","70","201","255","22","47","West Palm Beach","FL","USA","26.715364","-80.0532942","12099"
"3705353","103590","201","Oklahoma","Big 12","Cincinnati","2019","211","6","38","Rodney Anderson","Running Back","72","224","197","14","56","Katy","TX","USA","29.7857853","-95.8243956","48157"
"4361606","103889","328","Utah State","Mountain West","Kansas City","2019","214","6","41","Darwin Thompson","Running Back","68","198","305","29","39","Jenks","OK","USA","36.0228734","-95.9683278","40143"
"3915536","103854","194","Ohio State","Big Ten","Dallas","2019","218","7","4","Mike Weber","Running Back","70","211","190","13","57","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"3122143","104054","245","Texas A&M","SEC","Houston","2019","220","7","6","Cullen Gillaspia","Running Back","73","234","","","","Katy","TX","USA","29.7857853","-95.8243956","48157"
"3919104","103885","2226","Florida Atlantic","Conference USA","Chicago","2019","222","7","8","Kerrith Whyte Jr.","Running Back","70","197","262","24","46","Loxahatchee","FL","USA","26.8116033","-80.1567274","12099"
"3886818","103633","264","Washington","Pac-12","Miami","2019","234","7","20","Myles Gaskin","Running Back","69","205","236","19","50","Lynnwood","WA","USA","47.8278656","-122.3053932","53061"
