"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"559752","51572","99","LSU","SEC","Jacksonville","2017","4","1","4","Leonard Fournette","Running Back","73","240","4","1","93","New Orleans","LA","USA","29.9499323","-90.0701156","22071"
"3117251","51575","24","Stanford","Pac-12","Carolina","2017","8","1","8","Christian McCaffrey","Running Back","71","202","9","2","92","Castle Rock","CO","USA","39.3724232","-104.8586706","08035"
"3116593","51658","52","Florida State","ACC","Minnesota","2017","41","2","9","Dalvin Cook","Running Back","70","210","17","3","90","Miami","FL","USA","25.7742658","-80.1936589","12086"
"3116385","51784","201","Oklahoma","Big 12","Cincinnati","2017","48","2","16","Joe Mixon","Running Back","73","228","47","5","84","Oakley","CA","USA","37.9974219","-121.7124536","06013"
"551298","51783","2633","Tennessee","SEC","New Orleans","2017","67","3","3","Alvin Kamara","Running Back","70","214","40","4","86","Norcross","GA","USA","33.9412127","-84.2135309","13135"
"552745","51662","2649","Toledo","Mid-American","Kansas City","2017","86","3","22","Kareem Hunt","Running Back","71","216","86","7","74","Willoughby","OH","USA","41.6397696","-81.4065011","39085"
"3125116","51716","251","Texas","Big 12","Houston","2017","89","3","25","D'Onta Foreman","Running Back","72","233","103","8","73","Texas City","TX","USA","29.396013","-94.9175485","48167"
"546653","51661","221","Pittsburgh","ACC","Pittsburgh","2017","105","3","41","James Conner","Running Back","74","233","122","10","68","Erie","PA","USA","42.1294712","-80.0852695","42049"
"3116389","51659","201","Oklahoma","Big 12","Washington","2017","114","4","7","Samaje Perine","Running Back","71","233","71","6","77","Pflugerville","TX","USA","30.4393696","-97.6200043","48453"
"554513","51906","2448","North Carolina A&T","MEAC","Chicago","2017","119","4","13","Tarik Cohen","Running Back","67","179","246","24","43","","","","","",""
"3912576","51901","254","Utah","Pac-12","San Francisco","2017","121","4","15","Joe Williams","Running Back","71","210","184","17","54","Allentown","PA","USA","40.6022059","-75.4712794","42077"
"547571","52088","21","San Diego State","Mountain West","Philadelphia","2017","132","4","26","Donnel Pumphrey","Running Back","68","176","115","9","69","Las Vegas","NV","USA","36.1672559","-115.1485163","32003"
"536136","51333","252","BYU","FBS Independents","Green Bay","2017","134","4","28","Jamaal Williams","Running Back","72","212","143","12","62","Fontana","CA","USA","34.0922335","-117.435048","06071"
"546633","51660","228","Clemson","ACC","New York","2017","140","4","34","Wayne Gallman","Running Back","73","215","166","16","58","Loganville","GA","USA","33.8389977","-83.9007382","13297"
"3139605","51792","58","South Florida","American Athletic","Indianapolis","2017","143","4","37","Marlon Mack","Running Back","71","213","148","13","61","Sarasota","FL","USA","27.3364347","-82.5306527","12115"
"3125403","51785","2751","Wyoming","Mountain West","Atlanta","2017","156","5","12","Brian Hill","Running Back","73","219","189","18","52","Belleville","IL","USA","38.5200504","-89.9839935","17163"
"3127586","51786","68","Boise State","Mountain West","Tampa Bay","2017","162","5","18","Jeremy McNichols","Running Back","69","214","153","14","60","Long Beach","CA","USA","33.7690164","-118.1916048","06037"
"545254","52091","153","North Carolina","ACC","Arizona","2017","179","5","36","T.J. Logan","Running Back","70","196","158","15","59","Greensboro","NC","USA","36.0726355","-79.7919754","37081"
"545833","51788","2638","UTEP","Conference USA","Green Bay","2017","182","5","39","Aaron Jones","Running Back","70","208","300","29","36","El Paso","TX","USA","31.7754152","-106.4646348","48141"
"545809","51905","309","Louisiana","Sun Belt","New York","2017","188","6","4","Elijah McGuire","Running Back","70","214","196","19","50","Houma","LA","USA","29.5957696","-90.7195348","22109"
"2968226","51908","324","Coastal Carolina","FCS Independents","Denver","2017","203","6","19","De'Angelo Henderson","Running Back","68","208","234","23","44","","","","","",""
"3918026","52068","328","Utah State","Mountain West","Green Bay","2017","238","7","20","Devante Mays","Running Back","70","230","","55","30","Livingston","TX","USA","30.711029","-94.9329898","48373"
"3052143","52056","25","California","Pac-12","Tennessee","2017","241","7","23","Khalfrani Muhammad","Running Back","67","170","","37","30","","","","","",""
"3116690","51787","153","North Carolina","ACC","Las Vegas","2017","242","7","24","Elijah Hood","Running Back","71","232","289","28","37","Charlotte","NC","USA","35.2272","-80.843083","37119"
"3919596","51904","197","Oklahoma State","Big 12","Seattle","2017","249","7","31","Christopher Carson","Running Back","72","218","","32","30","Lilburn","GA","USA","33.8901036","-84.1429719","13135"
"549935","51706","152","NC State","ACC","Cleveland","2017","252","7","34","Matthew Dayes","Running Back","69","205","140","11","63","Ft. Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
