Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Tim Jones,JAX,WR,25,17,2,18,11,0,0,0,0,0,0,83,0,8,0,0,0
Dare Ogunbowale,HOU,RB,29,12,0,7,2,0,0,0,35,0,8,18,0,8,0,0,0
Ben Sims,GNB,TE,23,17,1,6,4,0,0,0,0,0,0,21,1,8,0,0,0
Samori Toure,GNB,WR,25,11,0,18,8,0,0,0,0,0,0,78,0,8,0,1,1
Deuce Vaughn,DAL,RB,22,7,0,7,7,0,0,0,40,0,23,40,0,8,0,0,0
Trayveon Williams,CIN,RB,26,17,0,9,7,0,0,0,69,0,15,10,0,8,0,0,0
Blake Bell,KAN,TE,32,17,3,9,5,0,0,0,0,0,0,26,1,7,0,1,1
Gary Brightwell,NYG,RB,24,7,0,7,5,0,0,0,19,0,9,47,0,7,0,0,0
Chris Conley,SFO,WR,31,8,0,6,3,0,0,0,0,0,0,69,0,7,0,0,0
Josiah Deguara,GNB,TE,26,15,4,8,8,0,0,0,0,0,0,65,0,7,0,0,0
Simi Fehoko,LAC,WR,26,6,0,2,1,0,0,0,0,0,0,9,1,7,0,0,0
Eric Gray,NYG,RB,24,13,0,7,6,0,0,0,48,0,17,22,0,7,0,3,0
Tyler Johnson,LAR,WR,25,1,0,3,2,0,0,0,0,0,0,8,1,7,0,0,0
Velus Jones Jr.,CHI,WR,26,14,0,7,4,0,0,0,51,0,8,20,0,7,0,0,0
Clayton Tune,ARI,QB,24,7,1,0,0,62,0,21,30,1,8,0,0,7,2,2,1
Tylan Wallace,BAL,WR,24,11,0,2,1,0,0,0,0,0,0,11,0,7,0,0,0
Jalen Brooks,DAL,WR,23,7,0,6,6,0,0,0,0,0,0,64,0,6,0,0,0
DeAndre Carter,LVR,WR,30,17,1,7,4,0,0,0,18,0,3,39,0,6,0,2,0
Payne Durham,TAM,TE,23,13,2,7,5,0,0,0,0,0,0,58,0,6,0,0,0
Blaine Gabbert,KAN,QB,34,2,1,0,0,185,0,35,45,0,7,0,0,6,3,0,0
Rakim Jarrett,TAM,WR,22,10,0,9,4,0,0,0,0,0,1,60,0,6,0,0,0
Ko Kieft,TAM,TE,25,16,6,5,1,0,0,0,0,0,0,2,1,6,0,0,0
Isaiah McKenzie,IND,WR,28,13,2,14,11,0,0,0,14,0,3,82,0,6,0,3,2
Equanimeous St. Brown,CHI,WR,27,7,2,6,5,0,0,0,0,0,0,62,0,6,0,0,0
Ian Thomas,CAR,TE,27,12,5,9,5,0,0,0,0,0,0,56,0,6,0,0,0
Darnell Washington,PIT,TE,22,17,7,10,7,0,0,0,0,0,0,61,0,6,0,0,0
Mitchell Wilcox,CIN,TE,27,17,4,12,9,0,0,0,0,0,0,56,0,6,0,0,0
Damien Williams,ARI,RB,31,3,0,2,2,0,0,0,43,0,11,12,0,6,0,0,0
Brian Hoyer,LVR,QB,38,3,1,0,0,231,0,42,-3,0,3,0,0,5,2,0,0
Ty Montgomery,NWE,WR,30,13,0,12,5,0,0,0,9,0,3,40,0,5,0,0,0
Justyn Ross,KAN,WR,24,10,1,11,6,0,0,0,0,0,0,53,0,5,0,0,0
Brett Rypien,LAR,QB,27,2,1,0,0,172,0,38,19,0,3,0,0,5,1,2,1
Mike Strachan,CAR,WR,26,4,1,3,1,0,0,0,0,0,0,45,0,5,0,0,0
Michael Burton,DEN,FB,31,17,3,3,3,0,0,0,9,0,7,8,0,4,0,0,0
Grant Calcaterra,PHI,TE,25,15,1,4,4,0,0,0,0,0,0,39,0,4,0,0,0
Elijah Cooks,JAX,WR,25,9,0,4,3,0,0,0,0,0,0,38,0,4,0,0,0
Britain Covey,PHI,WR,26,16,0,6,4,0,0,0,0,0,0,42,0,4,0,2,0
Leonard Fournette,BUF,RB,28,2,0,0,0,0,0,0,40,0,12,0,0,4,0,0,0
Peyton Hendershot,DAL,TE,24,8,1,7,4,0,0,0,0,0,1,38,0,4,0,0,0
Rashaad Penny,PHI,RB,27,3,0,1,1,0,0,0,33,0,11,5,0,4,0,0,0
Jack Stoll,PHI,TE,25,17,10,8,5,0,0,0,0,0,0,38,0,4,0,0,0
Ke'Shawn Vaughn,TAM,RB,26,6,0,5,2,0,0,0,42,0,24,2,0,4,0,0,0
Khari Blasingame,CHI,FB,27,16,2,6,3,0,0,0,26,0,8,2,0,3,0,0,0
Keelan Doss,LAC,WR,27,5,0,13,6,0,0,0,0,0,0,33,0,3,0,0,0
Greg Dulcich,DEN,TE,23,2,1,4,3,0,0,0,0,0,0,25,0,3,0,0,0
Devin Duvernay,BAL,WR,26,13,1,9,4,0,0,0,15,0,4,18,0,3,0,0,0
Derrick Gore,WAS,RB,29,6,0,0,0,0,0,0,26,0,3,0,0,3,0,0,0
C.J. Ham,MIN,FB,30,17,5,9,7,0,0,0,7,0,1,25,0,3,0,0,0
