Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Montrell Washington,KAN,WR,24,6,0,0,0,0,0,0,0,0,0,0,0,,0,2,0
Blake Whiteheart,ARI,TE,23,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kristian Wilkerson,LVR,WR,26,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Brayden Willis,SFO,TE,24,7,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jonathan Williams,WAS,RB,29,1,0,1,0,0,0,0,-2,0,1,0,0,,0,0,0
Rodney Williams,PIT,TE,25,13,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Juwann Winfree,IND,WR,27,8,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Easop Winston,SEA,WR,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Logan Woodside,ATL,QB,28,1,0,0,0,27,0,4,6,0,1,0,0,,1,0,0
Owen Wright,BAL,RB,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dareke Young,SEA,WR,24,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kyle Allen,BUF,QB,27,7,0,0,0,0,0,0,-13,0,13,0,0,-1,0,0,0
Deon Jackson,3TM,RB,24,4,1,6,5,0,0,0,16,0,14,14,0,-1,0,2,2
David Wells,TAM,TE,28,5,0,2,2,0,0,0,0,0,0,-10,0,-1,0,1,0
James Proche,CLE,WR,27,10,1,5,0,0,0,0,0,0,0,0,0,-2,0,1,1
Trent Taylor,CHI,WR,29,17,0,2,0,0,0,0,-2,0,1,0,0,-2,0,2,1
