"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4241457","104766","333","Alabama","SEC","Pittsburgh","2021","24","1","24","Najee Harris","Running Back","73","232","28","2","89","Antioch","CA","USA","38.0049214","-121.805789","06013"
"4239996","104752","228","Clemson","ACC","Jacksonville","2021","25","1","25","Travis Etienne","Running Back","70","215","22","1","90","Jennings","LA","USA","30.2224284","-92.657085","29189"
"4361579","105146","153","North Carolina","ACC","Denver","2021","35","2","3","Javonte Williams","Running Back","70","212","35","3","88","Wallace","NC","USA","34.735724","-77.9952628","37061"
"4241401","104844","194","Ohio State","Big Ten","San Francisco","2021","88","3","25","Trey Sermon","Running Back","72","215","79","4","75","Marietta","GA","USA","33.9528472","-84.5496148","13067"
"4240657","104826","153","North Carolina","ACC","New York","2021","107","4","2","Michael Carter","Running Back","68","201","83","5","74","Navarre","FL","USA","30.4019789","-86.8700821","12113"
"4035537","105481","66","Iowa State","Big 12","Minnesota","2021","119","4","14","Kene Nwangwu","Running Back","73","210","","","","Frisco","TX","USA","33.1506744","-96.8236116","48085"
"4569173","105165","201","Oklahoma","Big 12","New England","2021","120","4","15","Rhamondre Stevenson","Running Back","72","231","110","6","70","Las Vegas","NV","USA","36.1672559","-115.1485163","32003"
"4241416","104765","197","Oklahoma State","Big 12","Carolina","2021","126","4","21","Chuba Hubbard","Running Back","72","210","150","9","61","Sherwood Park","AB","CAN","","",""
"4371733","104788","235","Memphis","American Athletic","Philadelphia","2021","150","5","6","Kenneth Gainwell","Running Back","68","201","142","8","63","Yazoo City","MS","USA","32.8551326","-90.4056469","28163"
"4241555","104852","309","Louisiana","Sun Belt","San Francisco","2021","194","6","10","Elijah Mitchell","Running Back","70","201","211","14","47","Erath","LA","USA","29.9582611","-92.0359562","22113"
"4245645","105350","12","Arizona","Pac-12","New York","2021","196","6","12","Gary Brightwell","Running Back","71","218","312","24","31","Chester","PA","USA","39.849557","-75.3557458","42045"
"4241205","104867","142","Missouri","SEC","Los Angeles","2021","198","6","14","Larry Rountree III","Running Back","71","211","182","12","55","Raleigh","NC","USA","35.7803977","-78.6390989","37183"
"4046530","104783","130","Michigan","Big Ten","Cincinnati","2021","202","6","18","Chris Evans","Running Back","71","211","178","11","56","Indianapolis","IN","USA","39.7683331","-86.1583502","18097"
"4035886","105172","259","Virginia Tech","ACC","Chicago","2021","217","6","33","Khalil Herbert","Running Back","69","210","213","15","46","Coral Springs","FL","USA","26.26485615","-80.26534203798758","12011"
"4036224","105492","120","Maryland","Big Ten","Los Angeles","2021","233","7","5","Jake Funk","Running Back","70","205","","","","Gaithersburg","MD","USA","39.1434406","-77.2013705","24031"
"4037478","105494","2132","Cincinnati","American Athletic","Miami","2021","244","7","17","Gerrid Doaks","Running Back","72","230","","","","Indianapolis","IN","USA","39.7683331","-86.1583502","18097"
"4259805","104931","344","Mississippi State","SEC","Green Bay","2021","256","7","29","Kylin Hill","Running Back","71","214","219","16","44","Columbus","MS","USA","33.4956744","-88.4272627","28087"
"4374033","105325","204","Oregon State","Pac-12","Detroit","2021","257","7","30","Jermar Jefferson","Running Back","70","206","163","10","59","Harbor City","CA","USA","33.7972822","-118.3004717","06037"
