"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"549811","50025","194","Ohio State","Big Ten","Dallas","2016","4","1","4","Ezekiel Elliott","Running Back","72","225","4","1","93","St. Louis","MO","USA","38.6268039","-90.1994097","29510"
"546368","50026","333","Alabama","SEC","Tennessee","2016","45","2","14","Derrick Henry","Running Back","75","247","52","2","81","Yulee","FL","USA","30.6319034","-81.6064866","12089"
"535744","50038","333","Alabama","SEC","Miami","2016","73","3","10","Kenyan Drake","Running Back","73","210","98","7","70","Powder Spring","GA","USA","34.0054734","-82.2072046","45047"
"535958","50030","87","Notre Dame","FBS Independents","Seattle","2016","90","3","27","C.J. Prosise","Running Back","73","220","88","5","73","Petersburg","VA","USA","37.227928","-77.4019268","51730"
"512671","50035","23","San José State","Mountain West","Houston","2016","119","4","21","Tyler Ervin","Running Back","70","192","164","12","58","Colton","CA","USA","34.0739016","-117.3136547","06071"
"531310","50027","2348","Louisiana Tech","Conference USA","Baltimore","2016","134","4","36","Kenneth Dixon","Running Back","70","215","79","3","76","Strong","AR","USA","33.1103602","-92.3565792","05139"
"3122866","50029","254","Utah","Pac-12","Denver","2016","136","4","38","Devontae Booker","Running Back","71","219","85","4","74","Sacramento","CA","USA","38.5815719","-121.4943996","06067"
"2577654","50057","2641","Texas Tech","Big 12","Las Vegas","2016","143","5","4","Deandre Washington","Running Back","68","204","212","16","50","","","","","",""
"530982","50421","26","UCLA","Pac-12","New York","2016","149","5","10","Paul Perkins","Running Back","70","208","113","8","68","Queen Creek","AZ","USA","33.2483858","-111.6341585","04013"
"552904","50420","84","Indiana","Big Ten","Chicago","2016","150","5","11","Jordan Howard","Running Back","72","230","94","6","71","Gardendale","AL","USA","33.6601033","-86.8127702","01073"
"546046","50424","277","West Virginia","Big 12","Philadelphia","2016","153","5","14","Wendell Smallwood","Running Back","71","208","175","13","57","Wilmington","DE","USA","39.7459468","-75.546589","10003"
"535893","50043","8","Arkansas","SEC","Buffalo","2016","156","5","17","Jonathan Williams","Running Back","71","220","205","15","51","Allen","TX","USA","33.1031744","-96.6705503","48085"
"547203","50419","8","Arkansas","SEC","Seattle","2016","171","5","32","Alex Collins","Running Back","70","217","119","9","67","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"546318","50422","57","Florida","SEC","San Francisco","2016","211","6","36","Kelvin Taylor","Running Back","70","207","136","10","62","Belle Glade","FL","USA","26.6845104","-80.6675577","12099"
"536053","50426","2199","Eastern Michigan","Mid-American","Dallas","2016","216","6","41","Darius Jackson","Running Back","72","220","","26","30","Sparta","IL","USA","38.1231053","-89.7017658","17157"
"542080","50425","264","Washington","Pac-12","Detroit","2016","236","7","15","Dwayne Washington","Running Back","73","220","","29","30","Lakewood","CA","USA","33.8503463","-118.1171914","06037"
"517016","50033","25","California","Pac-12","New Orleans","2016","237","7","16","Daniel Lasco","Running Back","72","209","191","14","54","The Woodlands","TX","USA","30.1734194","-95.504686","48339"
"530937","50427","61","Georgia","SEC","Washington","2016","242","7","21","Keith Marshall","Running Back","71","219","263","19","40","Raleigh","NC","USA","35.7803977","-78.6390989","37183"
"534582","50429","228","Clemson","ACC","Seattle","2016","247","7","26","Zac Brooks","Running Back","72","200","","38","30","Jonesboro","AR","USA","35.8428646","-90.7034522","05031"
